game_date,count,mean,min,max,std,var
1996-11-03,1,2.0,2,2,,
1996-11-05,1,2.0,2,2,,
1996-11-06,3,2.6666666666666665,2,3,0.5773502691896257,0.33333333333333326
1996-11-08,8,2.375,2,3,0.5175491695067657,0.2678571428571429
1996-11-10,3,2.0,2,2,0.0,0.0
1996-11-12,2,2.5,2,3,0.7071067811865476,0.5
1996-11-13,2,2.5,2,3,0.7071067811865476,0.5
1996-11-15,4,2.5,2,3,0.5773502691896257,0.3333333333333333
1996-11-17,8,2.75,2,3,0.4629100498862757,0.21428571428571427
1996-11-19,2,2.5,2,3,0.7071067811865476,0.5
1996-11-20,5,2.6,2,3,0.5477225575051661,0.29999999999999993
1996-11-26,10,2.5,2,3,0.5270462766947299,0.2777777777777778
1996-11-27,7,2.4285714285714284,2,3,0.5345224838248489,0.2857142857142858
1996-11-29,1,2.0,2,2,,
1996-12-01,2,2.0,2,2,0.0,0.0
1996-12-04,6,2.0,2,2,0.0,0.0
1996-12-08,10,2.3,2,3,0.483045891539648,0.2333333333333334
1996-12-10,1,3.0,3,3,,
1996-12-17,5,2.4,2,3,0.5477225575051662,0.30000000000000004
1996-12-21,3,2.6666666666666665,2,3,0.5773502691896258,0.33333333333333337
1996-12-25,2,2.5,2,3,0.7071067811865476,0.5
1996-12-29,1,2.0,2,2,,
1997-01-02,3,2.3333333333333335,2,3,0.5773502691896258,0.33333333333333337
1997-01-03,10,2.2,2,3,0.42163702135578396,0.17777777777777784
1997-01-05,9,2.111111111111111,2,3,0.3333333333333333,0.1111111111111111
1997-01-06,9,2.3333333333333335,2,3,0.4999999999999999,0.24999999999999992
1997-01-08,13,2.1538461538461537,2,3,0.3755338080994054,0.14102564102564105
1997-01-10,3,2.3333333333333335,2,3,0.5773502691896257,0.33333333333333326
1997-01-14,6,2.3333333333333335,2,3,0.5163977794943222,0.26666666666666666
1997-01-18,13,2.3846153846153846,2,3,0.5063696835418333,0.2564102564102564
1997-01-20,7,2.0,2,2,0.0,0.0
1997-01-24,8,2.5,2,3,0.5345224838248487,0.28571428571428564
1997-01-26,6,2.1666666666666665,2,3,0.4082482904638631,0.1666666666666667
1997-01-28,11,2.272727272727273,2,3,0.4670993664969137,0.21818181818181812
1997-01-29,12,2.5833333333333335,2,3,0.5149286505444373,0.2651515151515152
1997-02-02,9,2.111111111111111,2,3,0.3333333333333333,0.1111111111111111
1997-02-04,10,2.2,2,3,0.42163702135578385,0.17777777777777773
1997-02-05,7,2.2857142857142856,2,3,0.48795003647426655,0.23809523809523803
1997-02-12,4,2.0,2,2,0.0,0.0
1997-02-13,10,2.2,2,3,0.4216370213557839,0.17777777777777778
1997-02-16,3,2.3333333333333335,2,3,0.5773502691896257,0.33333333333333326
1997-02-19,7,2.5714285714285716,2,3,0.5345224838248488,0.2857142857142857
1997-02-21,1,2.0,2,2,,
1997-02-23,2,2.5,2,3,0.7071067811865476,0.5
1997-02-28,1,2.0,2,2,,
