game_date,count,mean,min,max,std,var
1996-11-03,1,18.0,18,18,,
1996-11-05,1,16.0,16,16,,
1996-11-06,3,12.0,0,23,11.532562594670797,133.0
1996-11-08,8,13.375,0,23,11.198692525724343,125.41071428571429
1996-11-10,3,5.333333333333333,0,16,9.237604307034013,85.33333333333334
1996-11-12,2,20.5,18,23,3.5355339059327378,12.5
1996-11-13,2,11.5,0,23,16.263455967290593,264.5
1996-11-15,4,15.25,0,24,10.874281585465774,118.25
1996-11-17,8,17.125,0,24,10.588909292273685,112.12499999999999
1996-11-19,2,21.0,20,22,1.4142135623730951,2.0
1996-11-20,5,17.4,0,26,11.260550608207398,126.8
1996-11-26,10,13.9,0,29,12.395787815042478,153.65555555555557
1996-11-27,7,12.285714285714286,0,23,11.686377906410035,136.57142857142858
1996-11-29,1,0.0,0,0,,
1996-12-01,2,5.5,0,11,7.7781745930520225,60.5
1996-12-04,6,5.0,0,16,7.771743691090179,60.4
1996-12-08,10,8.6,0,24,11.315672514015437,128.04444444444445
1996-12-10,1,23.0,23,23,,
1996-12-17,5,14.4,0,24,10.502380682492898,110.3
1996-12-21,3,21.333333333333332,19,23,2.081665999466133,4.333333333333334
1996-12-25,2,11.0,0,22,15.556349186104045,242.0
1996-12-29,1,0.0,0,0,,
1997-01-02,3,12.0,0,23,11.532562594670797,133.0
1997-01-03,10,7.6,0,25,10.479609831583533,109.82222222222222
1997-01-05,9,6.333333333333333,0,23,9.7082439194738,94.25
1997-01-06,9,11.555555555555555,0,22,9.773831274263832,95.52777777777777
1997-01-08,13,6.3076923076923075,0,23,8.390317985478017,70.39743589743588
1997-01-10,3,16.0,8,24,8.0,64.0
1997-01-14,6,12.166666666666666,0,32,14.260668521028974,203.36666666666667
1997-01-18,13,13.615384615384615,0,27,10.579370346248254,111.9230769230769
1997-01-20,7,2.7142857142857144,0,12,4.8550415622761225,23.571428571428573
1997-01-24,8,15.375,0,24,10.44629120788809,109.125
1997-01-26,6,8.333333333333334,0,23,9.77070451229934,95.46666666666667
1997-01-28,11,11.363636363636363,0,24,10.102204979832148,102.05454545454545
1997-01-29,12,14.583333333333334,0,24,11.073788325536473,122.62878787878789
1997-02-02,9,9.777777777777779,0,24,8.671473026219044,75.19444444444444
1997-02-04,10,8.8,0,24,9.472767986883946,89.73333333333332
1997-02-05,7,12.285714285714286,0,24,10.045136231269435,100.90476190476191
1997-02-12,4,7.5,0,19,9.255628917943215,85.66666666666667
1997-02-13,10,9.4,0,23,10.254538290706002,105.15555555555555
1997-02-16,3,7.666666666666667,0,23,13.279056191361391,176.33333333333331
1997-02-19,7,17.571428571428573,0,25,9.10781976942786,82.95238095238095
1997-02-21,1,18.0,18,18,,
1997-02-23,2,19.5,17,22,3.5355339059327378,12.5
1997-02-28,1,0.0,0,0,,
1997-03-02,9,7.0,0,23,9.041570660012562,81.75
1997-03-04,2,11.0,0,22,15.556349186104045,242.0
1997-03-07,10,11.2,0,34,13.464356237447406,181.2888888888889
1997-03-09,6,14.333333333333334,0,25,11.621818561080131,135.06666666666666
1997-03-12,10,16.5,0,25,10.265909062956329,105.38888888888889
